,Close,High,Low,Open,Volume
2015-01-02,24.19260597229004,24.659508126434403,23.754469685489944,24.648443422251393,212818400
2015-01-05,23.511056900024414,24.042130522942855,23.32518206053304,23.962469395093265,257142000
2015-01-06,23.513275146484375,23.772173022582894,23.152586716885562,23.575233439406734,263188400
2015-01-07,23.842981338500977,23.942556919376344,23.610636065476097,23.721276350109513,160423600
2015-01-08,24.759078979492188,24.816612391422495,24.05319353108403,24.170473633005646,237458000
2015-01-09,24.785633087158203,25.06002047662429,24.387327450645735,24.931677361721775,214798000
2015-01-12,24.17490005493164,24.922827705158852,24.075324482860438,24.916189558785653,198603200
2015-01-13,24.389543533325195,24.960447781897706,24.09966654067397,24.65729280767819,268367600
2015-01-14,24.296602249145508,24.44928466294763,24.008936892193326,24.128428577931782,195826400
2015-01-15,23.63718605041504,24.354134491977135,23.601782043642775,24.340858200467093,240056000
2015-01-16,23.453521728515625,23.80535863149471,23.278709915973817,23.683653670789532,314053200
2015-01-20,24.057626724243164,24.112946873374245,23.566383529841232,23.86289871883009,199599600
2015-01-21,24.24128532409668,24.57541774452879,23.95804479734744,24.108515641336837,194303600
2015-01-22,24.871938705444336,24.887428279247118,24.278906655479844,24.39839837691712,215185600
2015-01-23,25.000272750854492,25.1706580006503,24.679414998563754,24.849801936595878,185859200
2015-01-26,25.026832580566406,25.305646576499495,24.960449421311633,25.16845201286075,222460000
2015-01-27,24.150556564331055,24.88963440186182,24.126215571319666,24.8763564222506,382274800
2015-01-28,25.5158634185791,26.13766300317951,25.5158634185791,26.02923430226332,585908400
2015-01-29,26.310264587402344,26.374436166209705,25.571186479963302,25.739360214484762,337745600
2015-01-30,25.925228118896484,26.553664023772246,25.856630005500925,26.199615507769245,334982000
2015-02-02,26.250511169433594,26.370002869616926,25.68624677706615,26.122169732854424,250956400
2015-02-03,26.254932403564453,26.352294678311385,26.024800474481754,26.22173998998051,207662800
2015-02-04,26.456298828125,26.666516338222607,26.17969817397268,26.22174201363949,280598800
2015-02-05,26.645137786865234,26.709562617574388,26.491851062250362,26.662908809726655,168984800
2015-02-06,26.42076301574707,26.714006091744032,26.314128399521028,26.662909949721197,174826400
2015-02-09,26.59626007080078,26.62291744894482,26.309681391456404,26.336340464499866,155559200
2015-02-10,27.107210159301758,27.136091242542914,26.694005586143845,26.696225904162972,248034000
2015-02-11,27.742570877075195,27.751457234046466,27.213845349029228,27.273826139961198,294247200
2015-02-12,28.093578338623047,28.3201762363106,27.895861528916974,28.004716451194586,297898000
2015-02-13,28.231306076049805,28.27573615929459,27.913626065642404,28.27573615929459,217088800
2015-02-17,28.39792823791504,28.631190468113697,28.195767412422946,28.32239504441379,252609600
2015-02-18,28.59564781188965,28.6089765023717,28.313511434089126,28.353499200434882,179566800
2015-02-19,28.535661697387695,28.664511338711634,28.50900431980301,28.542326041783866,149449600
2015-02-20,28.768930435180664,28.768930435180664,28.44680795382774,28.573433915827366,195793600
2015-02-23,29.546459197998047,29.546459197998047,28.80446622417137,28.884441738043602,283896400
2015-02-24,29.3620662689209,29.679747954035744,29.13991247701883,29.533125637828892,276912400
2015-02-25,28.611196517944336,29.235451763904805,28.469018171309017,29.226563710478064,298846800
2015-02-26,28.973308563232422,29.07327713106697,28.126902824541162,28.61119665484146,365150000
2015-02-27,28.537883758544922,29.006628496218763,28.4890096425942,28.879999180401377,248059200
2015-03-02,28.677846908569336,28.942210599045755,28.502346814362078,28.713392347077,192386800
2015-03-03,28.737825393676758,28.773370827213807,28.455689023399984,28.648965199633246,151265200
2015-03-04,28.55565643310547,28.782254325481713,28.506785701219396,28.680065445448587,126665200
2015-03-05,28.08247947692871,28.602318866464294,27.93807908153549,28.564553104639913,226068400
2015-03-06,28.124683380126953,28.740048936913926,28.049151867734945,28.524559382890047,291368400
2015-03-09,28.244646072387695,28.784481799889047,27.782565564049722,28.42681219847674,354114000
2015-03-10,27.660377502441406,28.26241425789635,27.502648465689692,28.08247017418936,275426400
2015-03-11,27.156089782714844,27.718138827229005,27.127210388514765,27.713696495390376,275756000
2015-03-12,27.647045135498047,27.747015381976055,27.020571364853275,27.171636046173965,193450800
2015-03-13,27.45600128173828,27.858101016618875,27.231627050037343,27.635947103719044,207309200
2015-03-16,27.758127212524414,27.758127212524414,27.296048420518424,27.520422623715213,143497200
2015-03-17,28.222431182861328,28.284634002627094,27.91363740266719,27.969175876729444,204092400
2015-03-18,28.540109634399414,28.693396356113592,28.073586818847133,28.21354315504293,261083600
2015-03-19,28.324623107910156,28.713392444685393,28.302408056217246,28.60231549132104,183238000
2015-03-20,27.969175338745117,28.524558373785165,27.80478193325487,28.491236645908533,274780400
2015-03-23,28.260196685791016,28.40237504252727,28.10690995638173,28.240203648859215,150838800
2015-03-24,28.144676208496094,28.44458191910523,28.11579511873549,28.264639509679526,131369200
2015-03-25,27.409345626831055,28.173555530969583,27.409345626831055,28.11135271456754,206620800
2015-03-26,27.600399017333984,27.74257737236355,27.236066770708273,27.271612206915506,190291600
2015-03-27,27.38047218322754,27.702594707423156,27.30494065972236,27.673715306359412,158184800
2015-03-30,28.073585510253906,28.080249855252642,27.54708022165996,27.55818859325754,188398800
2015-03-31,27.642608642578125,28.10024511430692,27.627057938050438,28.011383219191703,168362400
2015-04-01,27.602617263793945,27.795891733269624,27.34713998434433,27.72924489692644,162485600
2015-04-02,27.840320587158203,27.893637036917603,27.589287345262466,27.77589576687005,128880400
2015-04-06,28.291292190551758,28.326837619766778,27.620388315662122,27.651489718775586,148776000
2015-04-07,27.993606567382812,28.462349622438023,27.98694222319662,28.3557167256603,140049200
2015-04-08,27.902530670166016,28.080254475572733,27.762574317465607,27.958069147493138,149316800
2015-04-09,28.115795135498047,28.12023916234062,27.693704110033863,27.958066080579393,129936000
2015-04-10,28.23575782775879,28.26019489016697,27.826995501839317,27.98028052660932,160752000
2015-04-13,28.18021583557129,28.56232242775019,28.126899385571637,28.517888945434937,145460400
2015-04-14,28.05803108215332,28.277962912412484,27.97139121887246,28.213538094478118,102098400
2015-04-15,28.164663314819336,28.242416819151526,27.99360560528852,28.08246747948214,115881600
2015-04-16,28.029157638549805,28.235760836901022,28.015828946688366,28.053594703562297,113476000
2015-04-17,27.713695526123047,28.022489272545602,27.649270699868765,27.891419301645175,207828000
2015-04-20,28.346832275390625,28.462351537154245,27.806998326302168,27.895860209527733,188217200
2015-04-21,28.193546295166016,28.480123273997965,28.1402281501234,28.457909922579294,129740400
2015-04-22,28.573423385620117,28.62896184089604,28.062470614021137,28.21131326738481,150618000
2015-04-23,28.806684494018555,28.97329985358974,28.46678943167719,28.5023348552706,183083600
2015-04-24,28.94220542907715,29.019960638198242,28.70894319151285,28.9888592325096,178103600
2015-04-27,29.468713760375977,29.57535007404952,29.135482907195097,29.393182247206862,387816800
2015-04-28,29.004411697387695,29.888583241459457,28.784481513019248,29.8708139130615,475696000
2015-04-29,28.577871322631836,29.233224506626065,28.502339826670195,28.91554612607042,253544400
2015-04-30,27.802560806274414,28.57787743942009,27.675933151606497,28.57787743942009,332781600
2015-05-01,28.646743774414062,28.90888713039242,27.835883422298416,28.01360551944855,234050400
2015-05-04,28.59119987487793,29.00662988028145,28.493451638312393,28.768923633197197,203953200
2015-05-05,27.94696044921875,28.535666910420105,27.942516422209852,28.46902006448425,197085600
2015-05-06,27.771455764770508,28.1580030240195,27.40490154027082,28.115793246349376,288564000
2015-05-07,27.943227767944336,28.126154782564676,27.666605100388406,27.833916456516,175763600
2015-05-08,28.469701766967773,28.469701766967773,28.132847750663366,28.260004316794557,222201600
2015-05-11,28.179697036743164,28.456318032718876,28.02577002755684,28.41839452963739,168143200
2015-05-12,28.07931137084961,28.304622800272487,27.84507476175054,28.01907832189072,192640000
2015-05-13,28.11054039001465,28.373777003589282,28.079309071622678,28.141771708406623,138776800
2015-05-14,28.766401290893555,28.766401290893555,28.36708631302993,28.42285677051672,180814000
2015-05-15,28.726247787475586,28.886866975073346,28.601322509112556,28.793173016301076,152832000
2015-05-18,29.04301643371582,29.161249500528275,28.634776382587688,28.639238971134677,203531600
2015-05-19,29.016254425048828,29.196950157503426,28.920327470857302,29.154564066392645,178532800
2015-05-20,29.014022827148438,29.219257706248666,28.853403634120667,29.000638461722566,145819600
2015-05-21,29.310726165771484,29.3642670389056,28.96271900029755,29.016259873431665,158921600
2015-05-22,29.567256927490234,29.663183860690328,29.31294384043469,29.357562918550684,182384000
2015-05-26,28.915863037109375,29.649804096047635,28.804322132440436,29.580649279786215,282790400
2015-05-27,29.455718994140625,29.504797261823935,29.01178839640263,29.076480619826217,183332800
